dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
pima,5,0.667,0.357,0.451,0.977,0.93,0.343,0.227,0.208,0.168,0.401,0.312,0.232,0.661,0.989,0.931,0.473,0.794,0.021,0.005,0.25,0.067,0.167
pima,6,0.661,0.35,0.192,0.94,0.898,0.225,0.211,0.206,0.171,0.397,0.32,0.234,0.648,0.988,0.945,0.537,0.825,0.021,0.005,0.25,0.067,0.167
pima,7,0.624,0.31,0.161,0.901,0.833,0.179,0.232,0.159,0.15,0.394,0.299,0.19,0.669,0.985,0.922,0.516,0.777,0.021,0.005,0.25,0.067,0.167
pima,8,0.643,0.352,0.232,0.982,0.945,0.193,0.224,0.206,0.174,0.401,0.372,0.253,0.672,0.988,0.951,0.576,0.822,0.021,0.005,0.25,0.067,0.167
pima,9,0.641,0.327,0.325,0.971,0.911,0.193,0.206,0.164,0.173,0.401,0.341,0.198,0.656,0.987,0.915,0.474,0.758,0.021,0.008,0.375,0.067,0.167
ring,0,0.949,0.38,0.0,0.933,0.573,0.995,0.236,0.194,0.138,0.453,0.267,0.395,0.915,0.969,0.954,0.738,0.848,0.005,0.005,0.95,0.0,0.0
ring,1,0.944,0.379,0.0,0.938,0.571,0.995,0.234,0.186,0.137,0.455,0.265,0.384,0.864,0.977,0.962,0.75,0.862,0.005,0.005,0.95,0.0,0.0
ring,2,0.95,0.377,0.0,0.935,0.566,0.995,0.236,0.181,0.136,0.454,0.259,0.393,0.884,0.975,0.962,0.75,0.857,0.005,0.005,0.95,0.0,0.0
ring,3,0.948,0.382,0.0,0.935,0.569,0.995,0.236,0.185,0.142,0.453,0.275,0.39,0.896,0.971,0.958,0.746,0.858,0.005,0.005,0.95,0.0,0.0
ring,4,0.945,0.381,0.0,0.936,0.574,0.995,0.235,0.189,0.138,0.454,0.266,0.392,0.904,0.974,0.96,0.749,0.859,0.005,0.005,0.95,0.0,0.0
ring,5,0.944,0.38,0.0,0.936,0.572,0.995,0.237,0.182,0.141,0.454,0.272,0.39,0.869,0.972,0.95,0.732,0.839,0.005,0.005,0.95,0.0,0.0
ring,6,0.949,0.386,0.0,0.938,0.57,0.995,0.24,0.19,0.138,0.453,0.267,0.395,0.88,0.972,0.955,0.739,0.85,0.005,0.005,0.95,0.0,0.0
ring,7,0.945,0.373,0.0,0.933,0.571,0.995,0.234,0.195,0.139,0.454,0.27,0.391,0.883,0.974,0.942,0.72,0.825,0.005,0.005,0.95,0.0,0.0
ring,8,0.947,0.37,0.0,0.941,0.583,0.995,0.232,0.178,0.136,0.454,0.264,0.386,0.879,0.974,0.956,0.74,0.853,0.005,0.005,0.95,0.0,0.0
ring,9,0.946,0.389,0.0,0.921,0.56,0.996,0.244,0.204,0.143,0.454,0.275,0.394,0.884,0.971,0.951,0.735,0.841,0.005,0.005,0.95,0.0,0.0
sonar,0,0.56,0.06,0.0,0.875,0.029,0.007,0.115,0.077,0.139,0.398,0.163,0.221,0.75,0.962,0.985,0.792,0.926,0.577,0.144,0.25,0.004,0.012
sonar,1,0.671,0.056,0.0,0.856,0.0,0.004,0.096,0.029,0.139,0.406,0.202,0.221,0.779,0.957,0.992,0.821,0.946,0.577,0.154,0.267,0.002,0.007
sonar,2,0.732,0.08,0.0,0.837,0.0,0.011,0.135,0.087,0.168,0.423,0.231,0.212,0.798,0.964,0.985,0.758,0.905,0.577,0.154,0.267,0.004,0.012
sonar,3,0.621,0.027,0.0,0.827,0.0,0.004,0.058,0.0,0.144,0.392,0.231,0.115,0.74,0.957,0.992,0.803,0.955,0.577,0.144,0.25,0.002,0.007
sonar,4,0.751,0.089,0.0,0.904,0.0,0.004,0.106,0.077,0.154,0.407,0.24,0.163,0.817,0.959,0.992,0.794,0.946,0.577,0.154,0.267,0.004,0.012
sonar,5,0.619,0.062,0.0,0.837,0.038,0.003,0.067,0.019,0.139,0.418,0.231,0.192,0.76,0.961,0.987,0.79,0.923,0.577,0.154,0.267,0.002,0.007
sonar,6,0.717,0.063,0.0,0.875,0.0,0.003,0.096,0.048,0.159,0.419,0.231,0.144,0.798,0.956,0.992,0.868,0.94,0.577,0.154,0.267,0.004,0.012
sonar,7,0.628,0.058,0.0,0.846,0.0,0.007,0.173,0.096,0.125,0.402,0.212,0.106,0.769,0.963,0.987,0.714,0.938,0.577,0.144,0.25,0.002,0.007
sonar,8,0.628,0.057,0.0,0.827,0.0,0.005,0.115,0.048,0.154,0.402,0.221,0.163,0.76,0.964,0.991,0.77,0.929,0.577,0.154,0.267,0.004,0.012
sonar,9,0.726,0.075,0.0,0.865,0.0,0.005,0.144,0.067,0.125,0.413,0.231,0.173,0.731,0.959,0.99,0.806,0.94,0.577,0.154,0.267,0.002,0.007
spambase,0,0.739,0.152,0.0,0.855,0.52,0.016,0.077,0.035,0.112,0.297,0.195,0.153,0.437,0.995,0.647,0.108,0.511,0.025,0.0,0.018,0.033,0.086
spambase,1,0.748,0.155,0.0,0.908,0.525,0.016,0.073,0.043,0.107,0.319,0.196,0.159,0.436,0.996,0.664,0.13,0.522,0.025,0.0,0.018,0.033,0.086
spambase,2,0.77,0.155,0.0,0.903,0.511,0.015,0.074,0.037,0.106,0.306,0.198,0.152,0.434,0.995,0.603,0.089,0.482,0.025,0.0,0.018,0.033,0.086
spambase,3,0.718,0.153,0.0,0.857,0.542,0.022,0.08,0.046,0.105,0.168,0.173,0.155,0.408,0.995,0.67,0.122,0.522,0.025,0.0,0.018,0.033,0.086
spambase,4,0.75,0.153,0.0,0.857,0.512,0.018,0.076,0.038,0.11,0.254,0.191,0.174,0.444,0.996,0.633,0.102,0.496,0.025,0.0,0.018,0.033,0.086
spambase,5,0.737,0.155,0.0,0.904,0.507,0.017,0.068,0.04,0.101,0.187,0.183,0.155,0.406,0.994,0.638,0.105,0.505,0.025,0.0,0.018,0.033,0.086
spambase,6,0.773,0.151,0.0,0.852,0.507,0.017,0.079,0.034,0.104,0.331,0.197,0.157,0.413,0.995,0.668,0.125,0.526,0.025,0.0,0.018,0.033,0.086
spambase,7,0.713,0.155,0.0,0.914,0.535,0.011,0.073,0.04,0.104,0.278,0.188,0.184,0.445,0.995,0.634,0.105,0.502,0.025,0.0,0.018,0.033,0.086
spambase,8,0.733,0.139,0.0,0.903,0.521,0.016,0.066,0.039,0.103,0.31,0.187,0.16,0.432,0.995,0.644,0.11,0.512,0.025,0.0,0.018,0.033,0.086
spambase,9,0.755,0.169,0.0,0.854,0.5,0.019,0.084,0.046,0.108,0.312,0.191,0.159,0.432,0.995,0.653,0.112,0.507,0.025,0.0,0.018,0.033,0.086
titanic,0,0.667,0.447,1.0,1.0,1.0,0.229,0.227,0.231,0.213,0.046,0.221,0.23,0.987,1.0,0.704,0.062,0.513,0.003,0.003,1.0,0.093,0.223
titanic,1,0.645,0.424,1.0,1.0,1.0,0.225,0.221,0.217,0.182,0.074,0.218,0.207,0.989,1.0,0.689,0.056,0.496,0.003,0.003,1.0,0.092,0.222
titanic,2,0.674,0.459,1.0,1.0,1.0,0.236,0.23,0.231,0.208,0.0,0.454,0.231,0.978,1.0,0.709,0.06,0.518,0.003,0.003,1.0,0.093,0.223
titanic,3,0.637,0.405,1.0,1.0,1.0,0.212,0.215,0.205,0.204,0.022,0.208,0.205,0.986,1.0,0.684,0.058,0.492,0.003,0.003,1.0,0.092,0.222
titanic,4,0.657,0.444,1.0,1.0,1.0,0.231,0.225,0.225,0.193,0.063,0.226,0.207,0.986,1.0,0.701,0.056,0.509,0.003,0.003,1.0,0.093,0.223
titanic,5,0.655,0.422,1.0,1.0,1.0,0.218,0.222,0.206,0.129,0.0,0.243,0.224,0.99,1.0,0.692,0.062,0.5,0.003,0.003,1.0,0.092,0.222
titanic,6,0.645,0.426,1.0,1.0,1.0,0.223,0.22,0.223,0.325,0.03,0.568,0.438,0.986,1.0,0.693,0.06,0.503,0.003,0.003,1.0,0.093,0.223
titanic,7,0.667,0.444,1.0,1.0,1.0,0.23,0.228,0.217,0.138,0.067,0.213,0.243,0.99,1.0,0.7,0.057,0.506,0.003,0.003,1.0,0.092,0.222
titanic,8,0.643,0.411,1.0,1.0,1.0,0.219,0.22,0.203,0.135,0.019,0.201,0.204,0.985,1.0,0.693,0.059,0.503,0.003,0.003,1.0,0.093,0.223
titanic,9,0.669,0.458,1.0,1.0,1.0,0.233,0.228,0.245,0.192,0.063,0.431,0.412,0.991,1.0,0.7,0.059,0.507,0.003,0.003,1.0,0.092,0.222
twonorm,0,0.672,0.059,0.003,0.98,0.825,0.008,0.024,0.009,0.028,0.427,0.055,0.01,0.842,0.983,0.997,0.841,0.975,0.005,0.005,0.95,0.0,0.0
twonorm,1,0.692,0.057,0.003,0.981,0.811,0.005,0.018,0.006,0.028,0.427,0.055,0.008,0.832,0.983,0.998,0.861,0.971,0.005,0.005,0.95,0.0,0.0
twonorm,2,0.682,0.059,0.003,0.973,0.831,0.007,0.021,0.005,0.026,0.427,0.055,0.008,0.825,0.984,0.995,0.797,0.97,0.005,0.005,0.95,0.0,0.0
twonorm,3,0.674,0.058,0.005,0.984,0.829,0.007,0.021,0.006,0.025,0.427,0.048,0.007,0.852,0.983,0.998,0.885,0.974,0.005,0.005,0.95,0.0,0.0
twonorm,4,0.671,0.058,0.003,0.985,0.825,0.007,0.019,0.006,0.028,0.428,0.055,0.008,0.838,0.984,0.998,0.895,0.973,0.005,0.005,0.95,0.0,0.0
twonorm,5,0.688,0.059,0.005,0.986,0.858,0.007,0.021,0.009,0.023,0.426,0.047,0.008,0.836,0.982,0.996,0.824,0.966,0.005,0.005,0.95,0.0,0.0
twonorm,6,0.673,0.057,0.003,0.982,0.831,0.006,0.019,0.006,0.026,0.425,0.055,0.006,0.842,0.981,0.998,0.881,0.959,0.005,0.005,0.95,0.0,0.0
twonorm,7,0.693,0.06,0.002,0.984,0.839,0.008,0.021,0.006,0.026,0.429,0.051,0.005,0.831,0.986,0.996,0.822,0.972,0.005,0.005,0.95,0.0,0.0
twonorm,8,0.674,0.057,0.003,0.975,0.822,0.007,0.023,0.008,0.028,0.426,0.055,0.009,0.825,0.983,0.997,0.858,0.971,0.005,0.005,0.95,0.0,0.0
twonorm,9,0.683,0.059,0.003,0.978,0.832,0.007,0.02,0.007,0.027,0.428,0.055,0.008,0.846,0.983,0.998,0.861,0.979,0.005,0.005,0.95,0.0,0.0
wisconsin,0,0.191,0.055,0.267,0.903,0.862,0.101,0.046,0.032,0.033,0.266,0.06,0.026,0.284,0.761,0.63,0.325,0.404,0.026,0.02,0.778,0.072,0.178
wisconsin,1,0.193,0.045,0.154,0.903,0.666,0.055,0.031,0.009,0.026,0.219,0.06,0.02,0.166,0.639,0.623,0.32,0.394,0.026,0.02,0.778,0.072,0.18
wisconsin,2,0.178,0.049,0.175,0.9,0.777,0.052,0.029,0.011,0.029,0.239,0.057,0.02,0.223,0.666,0.633,0.318,0.404,0.026,0.02,0.778,0.072,0.178
wisconsin,3,0.2,0.051,0.544,0.869,0.84,0.09,0.034,0.014,0.03,0.251,0.046,0.026,0.229,0.739,0.621,0.3,0.394,0.026,0.02,0.778,0.072,0.18
wisconsin,4,0.179,0.046,0.119,0.421,0.083,0.054,0.037,0.014,0.032,0.24,0.057,0.02,0.178,0.68,0.628,0.33,0.399,0.026,0.02,0.778,0.072,0.178
wisconsin,5,0.213,0.055,0.415,0.92,0.831,0.089,0.04,0.026,0.033,0.258,0.057,0.031,0.243,0.747,0.625,0.318,0.401,0.026,0.02,0.778,0.072,0.18
wisconsin,6,0.232,0.059,0.213,0.9,0.805,0.112,0.054,0.046,0.042,0.263,0.077,0.037,0.295,0.699,0.639,0.341,0.412,0.026,0.02,0.778,0.072,0.178
wisconsin,7,0.172,0.041,0.06,0.754,0.723,0.031,0.017,0.009,0.026,0.232,0.046,0.02,0.143,0.716,0.615,0.306,0.389,0.026,0.02,0.778,0.072,0.18
wisconsin,8,0.194,0.043,0.195,0.894,0.788,0.061,0.029,0.009,0.027,0.248,0.057,0.017,0.183,0.74,0.615,0.324,0.389,0.026,0.02,0.778,0.072,0.178
wisconsin,9,0.195,0.055,0.249,0.911,0.823,0.064,0.031,0.026,0.029,0.249,0.051,0.023,0.246,0.693,0.636,0.323,0.408,0.026,0.02,0.778,0.072,0.18
