dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
banknote,2,0.312,0.036,0.121,0.585,0.268,0.001,0.01,0.001,0.003,0.107,0.0,0.01,0.052,0.899,0.897,0.287,0.774,0.006,0.004,0.75,0.009,0.024
banknote,3,0.31,0.039,0.164,0.646,0.35,0.001,0.01,0.004,0.002,0.104,0.001,0.006,0.063,0.898,0.893,0.292,0.761,0.006,0.004,0.75,0.009,0.024
banknote,4,0.326,0.038,0.154,0.641,0.268,0.001,0.01,0.001,0.002,0.103,0.001,0.012,0.055,0.891,0.894,0.284,0.774,0.006,0.004,0.75,0.009,0.024
banknote,5,0.297,0.036,0.124,0.557,0.166,0.001,0.007,0.0,0.001,0.105,0.0,0.004,0.054,0.902,0.893,0.289,0.782,0.006,0.004,0.75,0.009,0.024
banknote,6,0.322,0.037,0.152,0.663,0.341,0.001,0.006,0.0,0.002,0.107,0.001,0.006,0.055,0.893,0.891,0.283,0.754,0.006,0.004,0.75,0.009,0.024
banknote,7,0.301,0.037,0.14,0.566,0.211,0.001,0.01,0.0,0.001,0.107,0.0,0.009,0.061,0.902,0.896,0.29,0.779,0.006,0.004,0.75,0.009,0.024
banknote,8,0.321,0.04,0.176,0.673,0.321,0.001,0.007,0.001,0.001,0.112,0.0,0.003,0.066,0.901,0.897,0.292,0.78,0.006,0.004,0.75,0.009,0.024
banknote,9,0.301,0.034,0.122,0.551,0.185,0.002,0.007,0.0,0.001,0.102,0.0,0.006,0.052,0.891,0.892,0.282,0.753,0.006,0.004,0.75,0.009,0.024
breastcancoimbra,0,0.676,0.269,0.0,0.707,0.0,0.079,0.19,0.034,0.31,0.378,0.638,0.414,0.879,0.974,0.881,0.436,0.774,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,1,0.744,0.285,0.007,0.862,0.069,0.315,0.241,0.086,0.241,0.369,0.448,0.483,0.862,0.968,0.926,0.594,0.812,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,2,0.859,0.41,0.004,0.879,0.172,0.245,0.259,0.224,0.241,0.382,0.397,0.362,0.707,0.959,0.933,0.599,0.799,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,3,0.612,0.18,0.002,0.759,0.017,0.252,0.155,0.138,0.224,0.314,0.5,0.293,0.862,0.963,0.895,0.516,0.774,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,4,0.758,0.231,0.017,0.845,0.276,0.088,0.138,0.138,0.259,0.421,0.431,0.31,0.845,0.968,0.964,0.746,0.842,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,5,0.686,0.337,0.007,0.81,0.0,0.16,0.293,0.259,0.25,0.333,0.483,0.328,0.862,0.972,0.927,0.578,0.798,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,6,0.625,0.185,0.021,0.845,0.138,0.164,0.172,0.069,0.224,0.435,0.483,0.379,0.776,0.961,0.967,0.739,0.87,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,7,0.785,0.383,0.004,0.81,0.052,0.122,0.293,0.259,0.224,0.333,0.483,0.207,0.828,0.966,0.895,0.512,0.783,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,8,0.737,0.273,0.001,0.845,0.017,0.071,0.121,0.086,0.224,0.33,0.414,0.293,0.828,0.967,0.886,0.535,0.762,0.155,0.017,0.111,0.008,0.021
breastcancoimbra,9,0.746,0.327,0.015,0.862,0.034,0.174,0.293,0.328,0.216,0.437,0.431,0.259,0.81,0.963,0.89,0.48,0.768,0.155,0.017,0.111,0.008,0.021
cryotherapy,0,0.357,0.083,0.042,0.578,0.089,0.049,0.067,0.022,0.156,0.131,0.222,0.156,0.467,0.921,0.925,0.511,0.778,0.133,0.022,0.167,0.003,0.009
cryotherapy,1,0.426,0.167,0.06,0.644,0.0,0.126,0.133,0.133,0.133,0.396,0.156,0.311,0.511,0.925,0.949,0.571,0.847,0.133,0.022,0.167,0.003,0.009
cryotherapy,2,0.33,0.153,0.023,0.422,0.133,0.099,0.178,0.022,0.178,0.411,0.267,0.311,0.644,0.936,0.944,0.503,0.849,0.133,0.022,0.167,0.003,0.009
cryotherapy,3,0.367,0.066,0.05,0.467,0.0,0.04,0.067,0.0,0.111,0.121,0.044,0.133,0.444,0.918,0.934,0.431,0.847,0.133,0.022,0.167,0.003,0.009
cryotherapy,4,0.222,0.103,0.016,0.356,0.089,0.108,0.067,0.044,0.122,0.119,0.111,0.133,0.533,0.906,0.944,0.443,0.859,0.133,0.022,0.167,0.003,0.009
cryotherapy,5,0.5,0.123,0.053,0.733,0.0,0.058,0.067,0.022,0.156,0.393,0.267,0.2,0.556,0.935,0.938,0.615,0.794,0.133,0.022,0.167,0.003,0.009
cryotherapy,6,0.373,0.12,0.064,0.711,0.044,0.066,0.111,0.111,0.122,0.128,0.222,0.267,0.444,0.908,0.929,0.42,0.843,0.133,0.022,0.167,0.003,0.009
cryotherapy,7,0.425,0.117,0.061,0.667,0.089,0.054,0.133,0.022,0.156,0.403,0.267,0.267,0.622,0.931,0.944,0.628,0.83,0.133,0.022,0.167,0.003,0.009
cryotherapy,8,0.352,0.086,0.061,0.622,0.0,0.06,0.044,0.022,0.122,0.353,0.111,0.2,0.422,0.881,0.944,0.491,0.855,0.133,0.022,0.167,0.003,0.009
cryotherapy,9,0.438,0.142,0.058,0.778,0.356,0.056,0.089,0.111,0.178,0.155,0.2,0.178,0.622,0.947,0.929,0.451,0.783,0.133,0.022,0.167,0.003,0.009
