dataset,fold,method,init,mean_seconds,std_seconds,n_samples,n_features,size_proxy
australian,0,complexity_22,raw_tabular,0.10867360016951959,0.0006990044860582611,345,14,4830
australian,0,complexity_n2,raw_tabular,0.011941933228323856,7.729957157182182e-05,345,14,4830
australian,0,complexity_l1,raw_tabular,0.001420866542806228,0.00012994073482506768,345,14,4830
australian,0,encoding,shared,0.13923590009411177,0.0019223688296330617,345,14,4830
australian,0,feature_extraction,imagenet,0.1253006332553923,0.000514034564143933,345,512,176640
australian,0,hscore,imagenet,0.05429720021784305,0.0009168101121262029,345,512,176640
australian,0,transrate,imagenet,0.010584779921919108,0.0009153543898236806,345,512,176640
australian,0,feature_extraction,random,0.1256482667910556,0.0001986372408551601,345,512,176640
australian,0,hscore,random,0.055265639908611774,0.0012991298112060025,345,512,176640
australian,0,transrate,random,0.010059999860823154,0.0006965849866248446,345,512,176640
australian,1,complexity_22,raw_tabular,0.10989326688771446,0.000886349834117965,345,14,4830
australian,1,complexity_n2,raw_tabular,0.012249466497451067,9.303143879044586e-05,345,14,4830
australian,1,complexity_l1,raw_tabular,0.0016521667130291462,0.0001604004221286512,345,14,4830
australian,1,encoding,shared,0.14146453343952695,0.006087807351294641,345,14,4830
australian,1,feature_extraction,imagenet,0.1298992334244152,0.0010550121303146789,345,512,176640
australian,1,hscore,imagenet,0.056548420060426,0.0017428173339636152,345,512,176640
australian,1,transrate,imagenet,0.009704619832336902,0.0003851516927232496,345,512,176640
australian,1,feature_extraction,random,0.12523960011700788,0.0005242794628850434,345,512,176640
australian,1,hscore,random,0.053331839945167304,0.0013044274946609094,345,512,176640
australian,1,transrate,random,0.010780479945242404,0.001364219014757034,345,512,176640
australian,2,complexity_22,raw_tabular,0.11016643326729536,0.0008401943986099983,345,14,4830
australian,2,complexity_n2,raw_tabular,0.012133033325274786,0.0004009007926737574,345,14,4830
australian,2,complexity_l1,raw_tabular,0.0013231666137774785,3.698921415898731e-05,345,14,4830
australian,2,encoding,shared,0.14156836659337083,0.001280950676630455,345,14,4830
australian,2,feature_extraction,imagenet,0.13547006668522954,0.0006734384348757336,345,512,176640
australian,2,hscore,imagenet,0.055276500154286624,0.0004133957238014213,345,512,176640
australian,2,transrate,imagenet,0.009654000028967857,0.00044791160537746046,345,512,176640
australian,2,feature_extraction,random,0.1266593998298049,0.0017878410543731107,345,512,176640
australian,2,hscore,random,0.05532499998807907,0.0011461244196527686,345,512,176640
australian,2,transrate,random,0.010558199975639582,0.0008427240577577838,345,512,176640
australian,3,complexity_22,raw_tabular,0.10755623333776991,0.000948371928759905,345,14,4830
australian,3,complexity_n2,raw_tabular,0.011481833178550005,7.809410841448117e-05,345,14,4830
