method,init,mean,std,median,min,max
complexity_22,raw_tabular,2.6345974960015157,5.611525547776151,0.12356634996831417,0.009374100094040235,22.718706833353888
complexity_density,raw_tabular,0.13498639982969812,0.2682833015830821,0.008622216681639353,0.0007229667777816454,0.8700594000207881
complexity_l2,raw_tabular,0.0021727585109571615,0.0041512988513869075,0.0006526333745568991,0.0004225997254252434,0.024317333474755287
encoding,shared,0.37696878232605135,0.5351023378741949,0.1394008498949309,0.018162266661723454,2.164950266790887
feature_extraction,imagenet,0.3242054380003052,0.4348626719373451,0.1281944999936968,0.015861399937421083,1.4920334666967392
feature_extraction,random,0.323736816002056,0.4325828869632749,0.12781418332209188,0.016002233295391004,1.47782583332931
hscore,imagenet,0.06799683449603618,0.019798400119720658,0.06260395008139313,0.046151399984955786,0.10979718007147313
hscore,random,0.06852283789450303,0.020752058158764474,0.06134369997307658,0.0458491399884224,0.11561791989952326
transrate,imagenet,0.016391488603316247,0.01069524079525111,0.011603220039978624,0.007732200063765049,0.047223659977316854
transrate,random,0.01650922000827268,0.010429064178790555,0.011894780118018387,0.007711459975689649,0.04692013999447227
