dataset,fold,method,init,mean_seconds,std_seconds,n_samples,n_features,size_proxy
australian,0,complexity_22,raw_tabular,0.10742243348310392,0.0015771946695016222,345,14,4830
australian,0,complexity_l2,raw_tabular,0.0012574666179716587,7.349450130152308e-06,345,14,4830
australian,0,complexity_density,raw_tabular,0.008487700019031763,3.2276157195406154e-05,345,14,4830
australian,0,encoding,shared,0.14210643339902163,0.0021474979070082822,345,14,4830
australian,0,feature_extraction,imagenet,0.12365760002285242,0.0019644375392621483,345,512,176640
australian,0,hscore,imagenet,0.054528880026191474,0.0008408685907340586,345,512,176640
australian,0,transrate,imagenet,0.00993431992828846,0.00043547900852371045,345,512,176640
australian,0,feature_extraction,random,0.12194736658905943,0.001944700079317713,345,512,176640
australian,0,hscore,random,0.054108860064297916,0.001813121341159869,345,512,176640
australian,0,transrate,random,0.01015870003029704,0.0011168693548975204,345,512,176640
australian,1,complexity_22,raw_tabular,0.10824569997688134,0.0023405974581508673,345,14,4830
australian,1,complexity_l2,raw_tabular,0.0014182332282265027,5.492099089232802e-06,345,14,4830
australian,1,complexity_density,raw_tabular,0.008367666509002447,3.0790845115242925e-05,345,14,4830
australian,1,encoding,shared,0.14108443322281042,0.004262041791680635,345,14,4830
australian,1,feature_extraction,imagenet,0.18247913336381316,0.045144720371629955,345,512,176640
australian,1,hscore,imagenet,0.08459753999486566,0.002269568504413324,345,512,176640
australian,1,transrate,imagenet,0.01154407998546958,0.0006033057787399323,345,512,176640
australian,1,feature_extraction,random,0.1418968333552281,0.00599136842257438,345,512,176640
australian,1,hscore,random,0.08146461993455886,0.00048731286839868976,345,512,176640
australian,1,transrate,random,0.011381059978157282,0.00024397808546668573,345,512,176640
australian,2,complexity_22,raw_tabular,0.11200456678246458,0.001327096893364374,345,14,4830
australian,2,complexity_l2,raw_tabular,0.0012566667671004932,1.947613572426291e-05,345,14,4830
australian,2,complexity_density,raw_tabular,0.008761766677101454,0.00012013326529759617,345,14,4830
australian,2,encoding,shared,0.14334833342581987,0.0028623371515952263,345,14,4830
australian,2,feature_extraction,imagenet,0.12718893323714534,0.008991343429078456,345,512,176640
australian,2,hscore,imagenet,0.07746360003948212,0.005149230961709735,345,512,176640
australian,2,transrate,imagenet,0.01118267998099327,0.0004939940626352458,345,512,176640
australian,2,feature_extraction,random,0.14762390001366535,0.021934273251381985,345,512,176640
australian,2,hscore,random,0.07767891995608807,0.003594450090351244,345,512,176640
australian,2,transrate,random,0.011019980069249868,0.00035584309936264013,345,512,176640
australian,3,complexity_22,raw_tabular,0.11100596686204274,0.001296706259966112,345,14,4830
australian,3,complexity_l2,raw_tabular,0.001128166603545348,2.089327233244396e-05,345,14,4830
australian,3,complexity_density,raw_tabular,0.008344666721920172,0.0001006579175409771,345,14,4830
australian,3,encoding,shared,0.16879519975433746,0.02340424679222018,345,14,4830
australian,3,feature_extraction,imagenet,0.12470110009113948,0.0018486614113380306,345,512,176640
australian,3,hscore,imagenet,0.07878975989297032,0.0033357562565981737,345,512,176640
australian,3,transrate,imagenet,0.012885599955916404,0.0018119262297738759,345,512,176640
australian,3,feature_extraction,random,0.14428803340221444,0.01654110713477246,345,512,176640
australian,3,hscore,random,0.07668288014829158,0.0042066599126558135,345,512,176640
australian,3,transrate,random,0.013610639981925488,0.0016833467317053361,345,512,176640
australian,4,complexity_22,raw_tabular,0.1116955333078901,0.002184369950800691,345,14,4830
australian,4,complexity_l2,raw_tabular,0.001388333427409331,4.280346377320493e-05,345,14,4830
australian,4,complexity_density,raw_tabular,0.01014280008773009,0.0024325974060325144,345,14,4830
australian,4,encoding,shared,0.14135606664543351,0.0017498804130832307,345,14,4830
