dataset,fold,method,init,mean_seconds,std_seconds,n_samples,n_features,size_proxy
australian,4,feature_extraction,imagenet,0.12296533320719998,0.002138028124501793,345,512,176640
australian,4,hscore,imagenet,0.07831541998311878,0.0021615717002380734,345,512,176640
australian,4,transrate,imagenet,0.011881840042769909,0.0006552448428563777,345,512,176640
australian,4,feature_extraction,random,0.12297516673182447,0.001763534051977565,345,512,176640
australian,4,hscore,random,0.07066792016848922,0.005934734259777822,345,512,176640
australian,4,transrate,random,0.016738200094550848,0.006110970364404664,345,512,176640
australian,5,complexity_22,raw_tabular,0.11413256668796141,0.005906335225901866,345,14,4830
australian,5,complexity_l2,raw_tabular,0.0013632667250931263,3.033400834588673e-05,345,14,4830
australian,5,complexity_density,raw_tabular,0.008578899937371412,0.00026265772479891106,345,14,4830
australian,5,encoding,shared,0.1377172665670514,0.0017311484558041044,345,14,4830
australian,5,feature_extraction,imagenet,0.14895383346204957,0.008181696908887925,345,512,176640
australian,5,hscore,imagenet,0.07456462020054459,0.00335648298813173,345,512,176640
australian,5,transrate,imagenet,0.01629150016233325,0.003226719306943211,345,512,176640
australian,5,feature_extraction,random,0.13943963327134648,0.002000834987275894,345,512,176640
australian,5,hscore,random,0.08024295996874571,0.001970587169741972,345,512,176640
australian,5,transrate,random,0.0125900000333786,0.001753629022361693,345,512,176640
australian,6,complexity_22,raw_tabular,0.12338316673412919,0.01590773584530146,345,14,4830
australian,6,complexity_l2,raw_tabular,0.0011995999763409297,1.8330481520680512e-05,345,14,4830
australian,6,complexity_density,raw_tabular,0.008821966902663311,0.0005910744272759118,345,14,4830
australian,6,encoding,shared,0.18076299984628955,0.017127751552061088,345,14,4830
australian,6,feature_extraction,imagenet,0.146519066610684,0.01134408775558623,345,512,176640
australian,6,hscore,imagenet,0.0819946400821209,0.0009005910872631395,345,512,176640
australian,6,transrate,imagenet,0.011770339962095023,0.000899098740585706,345,512,176640
australian,6,feature_extraction,random,0.13657453330233693,0.003091325061508272,345,512,176640
australian,6,hscore,random,0.08153344001621007,0.0040730637009221,345,512,176640
australian,6,transrate,random,0.012473859917372465,0.0001717913083268299,345,512,176640
australian,7,complexity_22,raw_tabular,0.16139720007777214,0.0373425849878863,345,14,4830
australian,7,complexity_l2,raw_tabular,0.0012338333763182163,8.470022061978466e-05,345,14,4830
australian,7,complexity_density,raw_tabular,0.00894933333620429,0.00016542072017605282,345,14,4830
australian,7,encoding,shared,0.16147059993818402,0.013221382181229828,345,14,4830
australian,7,feature_extraction,imagenet,0.13684176669145623,0.0017212102915928997,345,512,176640
australian,7,hscore,imagenet,0.0795912398956716,0.0011074729897772998,345,512,176640
australian,7,transrate,imagenet,0.010646980069577695,0.00025133314039950643,345,512,176640
australian,7,feature_extraction,random,0.13987403347467384,0.004885139838579702,345,512,176640
australian,7,hscore,random,0.07905450006946921,0.0007562926683488992,345,512,176640
australian,7,transrate,random,0.011663439963012934,0.0007415219806847338,345,512,176640
australian,8,complexity_22,raw_tabular,0.12514170010884604,0.008249868684183722,345,14,4830
australian,8,complexity_l2,raw_tabular,0.0015324330888688564,0.0001648313934118796,345,14,4830
australian,8,complexity_density,raw_tabular,0.009025666552285353,0.00023570013794694945,345,14,4830
australian,8,encoding,shared,0.1803944998731216,0.03536016503814771,345,14,4830
australian,8,feature_extraction,imagenet,0.1381913999406,0.005048052164570622,345,512,176640
australian,8,hscore,imagenet,0.08831175984814763,0.006672706785928357,345,512,176640
australian,8,transrate,imagenet,0.01091086007654667,0.00028099133826439563,345,512,176640
australian,8,feature_extraction,random,0.13892816674585143,0.005479557368722594,345,512,176640
australian,8,hscore,random,0.08504606001079082,0.002741961696586369,345,512,176640
australian,8,transrate,random,0.01126009998843074,0.0009903569489371359,345,512,176640
australian,9,complexity_22,raw_tabular,0.11639753341053923,0.0020295826406251196,345,14,4830
australian,9,complexity_l2,raw_tabular,0.0012990334071218967,8.74975875827306e-05,345,14,4830
australian,9,complexity_density,raw_tabular,0.011776466543475786,0.0013515617998346465,345,14,4830
australian,9,encoding,shared,0.15951466684540114,0.024890792601483424,345,14,4830
australian,9,feature_extraction,imagenet,0.12952016666531563,0.008222854287089167,345,512,176640
australian,9,hscore,imagenet,0.07743081999942661,0.0021427587677951736,345,512,176640
australian,9,transrate,imagenet,0.011255960073322057,0.0003862167795880022,345,512,176640
australian,9,feature_extraction,random,0.14182086661458015,0.008534433505621244,345,512,176640
australian,9,hscore,random,0.07658855989575386,0.004320394427805222,345,512,176640
australian,9,transrate,random,0.011027180030941964,0.00016931253914916078,345,512,176640
banknote,0,complexity_22,raw_tabular,0.33918010008831817,0.03693926376196002,686,4,2744
banknote,0,complexity_l2,raw_tabular,0.000595566506187121,1.2633774114636397e-05,686,4,2744
banknote,0,complexity_density,raw_tabular,0.025106466685732205,0.0003614930890051304,686,4,2744
banknote,0,encoding,shared,0.2755060000345111,0.00404915453078984,686,4,2744
banknote,0,feature_extraction,imagenet,0.26626170007511973,0.008186075703044781,686,512,351232
banknote,0,hscore,imagenet,0.08550948007032275,0.0035296312302632755,686,512,351232
banknote,0,transrate,imagenet,0.013552740029990674,0.0004960589989223618,686,512,351232
banknote,0,feature_extraction,random,0.2572221335334082,0.0031076177675655884,686,512,351232
banknote,0,hscore,random,0.0842201598919928,0.005962287035872782,686,512,351232
banknote,0,transrate,random,0.01598967993631959,0.0007233185253791775,686,512,351232
banknote,1,complexity_22,raw_tabular,0.3207253332560261,0.018792940051323342,686,4,2744
banknote,1,complexity_l2,raw_tabular,0.0005847997963428497,4.4400910806876346e-05,686,4,2744
banknote,1,complexity_density,raw_tabular,0.024308333328614633,0.00019358653976935317,686,4,2744
banknote,1,encoding,shared,0.2686519332540532,0.0029455412652606714,686,4,2744
banknote,1,feature_extraction,imagenet,0.2609811667352915,0.004994809062227788,686,512,351232
banknote,1,hscore,imagenet,0.07798008024692535,0.0036404105652947097,686,512,351232
banknote,1,transrate,imagenet,0.017351179849356413,0.0015212162608531836,686,512,351232
banknote,1,feature_extraction,random,0.25302863338341314,0.005894862521952658,686,512,351232
banknote,1,hscore,random,0.08450825996696949,0.003907727381633502,686,512,351232
banknote,1,transrate,random,0.01655131997540593,0.0011944410447571724,686,512,351232
banknote,2,complexity_22,raw_tabular,0.2991920666148265,0.0033587124020294334,686,4,2744
banknote,2,complexity_l2,raw_tabular,0.0006229998543858528,0.00010903782928607997,686,4,2744
banknote,2,complexity_density,raw_tabular,0.02475476684048772,0.00041021975609215267,686,4,2744
banknote,2,encoding,shared,0.283826500022163,0.013185516762927285,686,4,2744
banknote,2,feature_extraction,imagenet,0.25722870013366145,0.023205142720156762,686,512,351232
banknote,2,hscore,imagenet,0.07922591995447874,0.004112867222640093,686,512,351232
banknote,2,transrate,imagenet,0.017348120082169773,0.003139828758667043,686,512,351232
banknote,2,feature_extraction,random,0.25303243317951757,0.009883285214791789,686,512,351232
banknote,2,hscore,random,0.08462119996547698,0.0030660819838829153,686,512,351232
banknote,2,transrate,random,0.015693420078605413,0.001194423034630842,686,512,351232
banknote,3,complexity_22,raw_tabular,0.3039529666615029,0.0044509842487206385,686,4,2744
banknote,3,complexity_l2,raw_tabular,0.0005638664588332176,1.8983913463834553e-05,686,4,2744
banknote,3,complexity_density,raw_tabular,0.023430566458652418,0.00024211441822483286,686,4,2744
banknote,3,encoding,shared,0.27697709994390607,0.009443407834049117,686,4,2744
banknote,3,feature_extraction,imagenet,0.24456826659540334,0.0049893958400340265,686,512,351232
banknote,3,hscore,imagenet,0.07684256006032228,0.005188502527509559,686,512,351232
banknote,3,transrate,imagenet,0.015131879970431328,0.0009807723139602584,686,512,351232
banknote,3,feature_extraction,random,0.26129643339663744,0.0038012019542118655,686,512,351232
banknote,3,hscore,random,0.08638518005609512,0.00655161733449853,686,512,351232
banknote,3,transrate,random,0.016080959979444743,0.0005599592778917551,686,512,351232
banknote,4,complexity_22,raw_tabular,0.31931096672390896,0.015262882949498055,686,4,2744
banknote,4,complexity_l2,raw_tabular,0.0005423667219777902,9.477086545113333e-06,686,4,2744
banknote,4,complexity_density,raw_tabular,0.023916499844441812,7.00497284210181e-05,686,4,2744
banknote,4,encoding,shared,0.27167200002198416,0.004648560911819327,686,4,2744
banknote,4,feature_extraction,imagenet,0.25214919991170365,0.006588254115002699,686,512,351232
banknote,4,hscore,imagenet,0.08562136003747582,0.0020856989352020716,686,512,351232
banknote,4,transrate,imagenet,0.014286259934306145,0.0005406138371595717,686,512,351232
banknote,4,feature_extraction,random,0.2902434663847089,0.0334866193344608,686,512,351232
banknote,4,hscore,random,0.08507187999784946,0.004643467730967383,686,512,351232
banknote,4,transrate,random,0.014302580058574677,0.00047156972551725144,686,512,351232
banknote,5,complexity_22,raw_tabular,0.3098998667361836,0.0032399846745527604,686,4,2744
banknote,5,complexity_l2,raw_tabular,0.000670366765310367,2.7438657963718323e-05,686,4,2744
banknote,5,complexity_density,raw_tabular,0.024840633384883404,0.00041192246694410345,686,4,2744
banknote,5,encoding,shared,0.27517366673176485,0.0075788315389813685,686,4,2744
banknote,5,feature_extraction,imagenet,0.2620774667399625,0.008684803704308386,686,512,351232
banknote,5,hscore,imagenet,0.08605054002255201,0.0022112581466389907,686,512,351232
banknote,5,transrate,imagenet,0.0142029601149261,0.0002256515571753346,686,512,351232
banknote,5,feature_extraction,random,0.26923363329842687,0.006113944977025897,686,512,351232
banknote,5,hscore,random,0.08939865985885262,0.000723582314443494,686,512,351232
banknote,5,transrate,random,0.014085020031780004,0.0010310856485876863,686,512,351232
banknote,6,complexity_22,raw_tabular,0.33238593333711225,0.01857131519577684,686,4,2744
banknote,6,complexity_l2,raw_tabular,0.0006038001738488674,5.586142669544293e-05,686,4,2744
banknote,6,complexity_density,raw_tabular,0.025552900042384863,0.0006425732750660635,686,4,2744
banknote,6,encoding,shared,0.29544996671999496,0.030856727907720986,686,4,2744
banknote,6,feature_extraction,imagenet,0.25356819992884994,0.007033620007296464,686,512,351232
banknote,6,hscore,imagenet,0.08466237997636199,0.0014887349730510978,686,512,351232
banknote,6,transrate,imagenet,0.013826039899140597,0.000557260476555351,686,512,351232
banknote,6,feature_extraction,random,0.2748998332147797,0.013679931698029347,686,512,351232
banknote,6,hscore,random,0.09126490009948611,0.0024248232403786315,686,512,351232
banknote,6,transrate,random,0.014466860052198171,0.0006963042671009695,686,512,351232
banknote,7,complexity_22,raw_tabular,0.3194602665801843,0.015169451282349483,686,4,2744
banknote,7,complexity_l2,raw_tabular,0.000649766530841589,8.012331298229078e-05,686,4,2744
banknote,7,complexity_density,raw_tabular,0.024527833176155884,0.0006795640396288397,686,4,2744
banknote,7,encoding,shared,0.2683302997611463,0.002808370484977217,686,4,2744
banknote,7,feature_extraction,imagenet,0.28124866681173444,0.0206194353572914,686,512,351232
banknote,7,hscore,imagenet,0.08459293991327285,0.0024588598387749873,686,512,351232
banknote,7,transrate,imagenet,0.013905480038374662,0.000923483768222586,686,512,351232
banknote,7,feature_extraction,random,0.2660416665797432,0.006427345528328308,686,512,351232
banknote,7,hscore,random,0.08995023984462022,0.002848562366486098,686,512,351232
banknote,7,transrate,random,0.013825100101530551,0.00039844986788307914,686,512,351232
banknote,8,complexity_22,raw_tabular,0.30371333348254365,0.004093123781808496,686,4,2744
banknote,8,complexity_l2,raw_tabular,0.0005732333908478419,1.62803433754331e-05,686,4,2744
banknote,8,complexity_density,raw_tabular,0.024799666677912075,0.00043744443691795857,686,4,2744
banknote,8,encoding,shared,0.2914861335108678,0.014471082231876974,686,4,2744
banknote,8,feature_extraction,imagenet,0.26675169992571074,0.002064299873766301,686,512,351232
banknote,8,hscore,imagenet,0.0836752599105239,0.002520436626445431,686,512,351232
banknote,8,transrate,imagenet,0.014146980084478854,0.0011328173811633684,686,512,351232
banknote,8,feature_extraction,random,0.26528106660892564,0.0014470193838947304,686,512,351232
banknote,8,hscore,random,0.09073267998173833,0.0022804738293816652,686,512,351232
banknote,8,transrate,random,0.01443525990471244,0.0009453812620286324,686,512,351232
banknote,9,complexity_22,raw_tabular,0.3053965998503069,0.0011813777329017809,686,4,2744
banknote,9,complexity_l2,raw_tabular,0.0005716332234442234,3.4400322252058564e-05,686,4,2744
banknote,9,complexity_density,raw_tabular,0.027990266680717468,0.0032297903764122553,686,4,2744
banknote,9,encoding,shared,0.28481646658231813,0.021107393410975086,686,4,2744
banknote,9,feature_extraction,imagenet,0.2618206000576417,0.025010927881044726,686,512,351232
banknote,9,hscore,imagenet,0.07973055997863412,0.005655083617120617,686,512,351232
banknote,9,transrate,imagenet,0.016785120032727717,0.0033985855090307017,686,512,351232
banknote,9,feature_extraction,random,0.26633003323028487,0.004973121864248429,686,512,351232
banknote,9,hscore,random,0.08128538001328707,0.003326606908649036,686,512,351232
banknote,9,transrate,random,0.01628579990938306,0.0015016850332322503,686,512,351232
breastcancoimbra,0,complexity_22,raw_tabular,0.012553033418953419,7.822552498729892e-05,58,9,522
breastcancoimbra,0,complexity_l2,raw_tabular,0.00048666664709647495,2.2080093733504623e-05,58,9,522
breastcancoimbra,0,complexity_density,raw_tabular,0.0009955667580167453,1.8452833487309545e-05,58,9,522
breastcancoimbra,0,encoding,shared,0.05823743327831229,0.0472405222741067,58,9,522
breastcancoimbra,0,feature_extraction,imagenet,0.021656366530805826,0.000426008473514571,58,512,29696
breastcancoimbra,0,hscore,imagenet,0.06529402006417513,0.004125737343794605,58,512,29696
breastcancoimbra,0,transrate,imagenet,0.01027421997860074,0.001122115856094829,58,512,29696
breastcancoimbra,0,feature_extraction,random,0.021475700195878744,0.0003338119909520404,58,512,29696
breastcancoimbra,0,hscore,random,0.06362584019079805,0.005634456887406632,58,512,29696
breastcancoimbra,0,transrate,random,0.009886759892106056,0.0018415537909742903,58,512,29696
breastcancoimbra,1,complexity_22,raw_tabular,0.013269133244951567,0.0006596166602801173,58,9,522
breastcancoimbra,1,complexity_l2,raw_tabular,0.0006019999273121357,0.00014119869432693586,58,9,522
breastcancoimbra,1,complexity_density,raw_tabular,0.0010033332121868928,1.185781398428935e-05,58,9,522
breastcancoimbra,1,encoding,shared,0.02497376672302683,0.0006250181058445228,58,9,522
breastcancoimbra,1,feature_extraction,imagenet,0.02484363317489624,0.003220643674405177,58,512,29696
breastcancoimbra,1,hscore,imagenet,0.07026252001523972,0.0021984813768908124,58,512,29696
breastcancoimbra,1,transrate,imagenet,0.010041680093854666,0.0003406365636460672,58,512,29696
breastcancoimbra,1,feature_extraction,random,0.02165103346730272,0.00029937816935324827,58,512,29696
breastcancoimbra,1,hscore,random,0.0650741401128471,0.0047435335269776085,58,512,29696
breastcancoimbra,1,transrate,random,0.010509519930928945,0.0010143216259148472,58,512,29696
breastcancoimbra,2,complexity_22,raw_tabular,0.014909466728568077,0.003026876217519039,58,9,522
breastcancoimbra,2,complexity_l2,raw_tabular,0.00043383318309982616,7.85480288447056e-06,58,9,522
breastcancoimbra,2,complexity_density,raw_tabular,0.0009770332835614681,1.2421616853396116e-05,58,9,522
breastcancoimbra,2,encoding,shared,0.02464479999616742,0.00022995993756795322,58,9,522
breastcancoimbra,2,feature_extraction,imagenet,0.02153186670814951,0.0004075478408169663,58,512,29696
breastcancoimbra,2,hscore,imagenet,0.06098927995190025,0.0055391107782195295,58,512,29696
breastcancoimbra,2,transrate,imagenet,0.009712360054254531,0.0003714749546139104,58,512,29696
breastcancoimbra,2,feature_extraction,random,0.02307233354076743,0.00014822411368034313,58,512,29696
breastcancoimbra,2,hscore,random,0.06844258001074195,0.0022279025049397744,58,512,29696
breastcancoimbra,2,transrate,random,0.009727299865335225,0.000742515922611271,58,512,29696
breastcancoimbra,3,complexity_22,raw_tabular,0.013924800014744202,0.00046671009449110673,58,9,522
breastcancoimbra,3,complexity_l2,raw_tabular,0.0004852665588259697,6.086227097504238e-06,58,9,522
breastcancoimbra,3,complexity_density,raw_tabular,0.0009900333049396675,1.5600527312583074e-05,58,9,522
breastcancoimbra,3,encoding,shared,0.024597099982202053,0.0005081904397722054,58,9,522
breastcancoimbra,3,feature_extraction,imagenet,0.021415066594878834,0.00012326059042614486,58,512,29696
breastcancoimbra,3,hscore,imagenet,0.07144002001732588,0.002149599041518759,58,512,29696
breastcancoimbra,3,transrate,imagenet,0.011682080011814833,0.004093170126195008,58,512,29696
breastcancoimbra,3,feature_extraction,random,0.02136483338351051,3.2668545854717966e-05,58,512,29696
breastcancoimbra,3,hscore,random,0.0714830600656569,0.0017322546091233114,58,512,29696
breastcancoimbra,3,transrate,random,0.010267680045217276,0.0004217038588341207,58,512,29696
breastcancoimbra,4,complexity_22,raw_tabular,0.01230053324252367,0.00011967717351540812,58,9,522
breastcancoimbra,4,complexity_l2,raw_tabular,0.00048010004684329033,8.532777259209386e-06,58,9,522
breastcancoimbra,4,complexity_density,raw_tabular,0.0009702333870033423,1.3580481794293921e-05,58,9,522
breastcancoimbra,4,encoding,shared,0.027223733408997457,0.0019157952777115312,58,9,522
breastcancoimbra,4,feature_extraction,imagenet,0.02121273319547375,8.332400018924836e-05,58,512,29696
breastcancoimbra,4,hscore,imagenet,0.06946354005485773,0.004469662470901913,58,512,29696
breastcancoimbra,4,transrate,imagenet,0.013848180044442415,0.006675480886392882,58,512,29696
breastcancoimbra,4,feature_extraction,random,0.022649166639894247,0.0014819131240356518,58,512,29696
breastcancoimbra,4,hscore,random,0.061349220015108584,0.0026600238919440924,58,512,29696
breastcancoimbra,4,transrate,random,0.013031799998134374,0.0030528967606532325,58,512,29696
breastcancoimbra,5,complexity_22,raw_tabular,0.012548500206321478,4.738980975995839e-05,58,9,522
breastcancoimbra,5,complexity_l2,raw_tabular,0.0005028331652283669,3.203476300711662e-05,58,9,522
breastcancoimbra,5,complexity_density,raw_tabular,0.0009774665037790935,1.1391528091191297e-05,58,9,522
breastcancoimbra,5,encoding,shared,0.024911699971805017,0.0004500801611882976,58,9,522
breastcancoimbra,5,feature_extraction,imagenet,0.021539466610799234,0.00026089013712668333,58,512,29696
breastcancoimbra,5,hscore,imagenet,0.07264951998367905,0.004140589009435741,58,512,29696
breastcancoimbra,5,transrate,imagenet,0.009512659907341004,0.0008365573057583307,58,512,29696
breastcancoimbra,5,feature_extraction,random,0.023765199972937506,0.003272858970049889,58,512,29696
breastcancoimbra,5,hscore,random,0.07048884006217122,0.0026020931637336714,58,512,29696
breastcancoimbra,5,transrate,random,0.009362459927797318,0.0004666195325860007,58,512,29696
breastcancoimbra,6,complexity_22,raw_tabular,0.013478766816357771,0.0009367878547794036,58,9,522
breastcancoimbra,6,complexity_l2,raw_tabular,0.0004596334571639697,3.0653619265535823e-06,58,9,522
breastcancoimbra,6,complexity_density,raw_tabular,0.0009682332165539265,1.6603196321491836e-05,58,9,522
breastcancoimbra,6,encoding,shared,0.024822433323909838,0.0001423130053645212,58,9,522
breastcancoimbra,6,feature_extraction,imagenet,0.021903833219160635,0.00018685209708911322,58,512,29696
breastcancoimbra,6,hscore,imagenet,0.07015227992087603,0.004435992567187045,58,512,29696
breastcancoimbra,6,transrate,imagenet,0.01060963999480009,0.002847860183540387,58,512,29696
breastcancoimbra,6,feature_extraction,random,0.021261966632058222,8.881930225745265e-05,58,512,29696
breastcancoimbra,6,hscore,random,0.06620864020660519,0.006671040159971311,58,512,29696
breastcancoimbra,6,transrate,random,0.009541620034724474,0.0005911425279098248,58,512,29696
breastcancoimbra,7,complexity_22,raw_tabular,0.013392066738257805,0.000368788821854173,58,9,522
breastcancoimbra,7,complexity_l2,raw_tabular,0.0004853333036104838,1.1024412470138263e-05,58,9,522
breastcancoimbra,7,complexity_density,raw_tabular,0.0010073667702575524,3.396667569927087e-05,58,9,522
breastcancoimbra,7,encoding,shared,0.024214566685259342,5.805169483923235e-05,58,9,522
breastcancoimbra,7,feature_extraction,imagenet,0.021198799988875788,6.958399708689574e-05,58,512,29696
breastcancoimbra,7,hscore,imagenet,0.067201520036906,0.004351551790992876,58,512,29696
breastcancoimbra,7,transrate,imagenet,0.009742760006338358,0.0006394475042564835,58,512,29696
breastcancoimbra,7,feature_extraction,random,0.02259556669741869,0.0006217834840863046,58,512,29696
breastcancoimbra,7,hscore,random,0.07277372004464269,0.0038131903640836336,58,512,29696
breastcancoimbra,7,transrate,random,0.009830660093575716,0.0009734157372916339,58,512,29696
breastcancoimbra,8,complexity_22,raw_tabular,0.016289633388320606,0.0034092775389057907,58,9,522
breastcancoimbra,8,complexity_l2,raw_tabular,0.0004882335973282655,6.9962599074234705e-06,58,9,522
breastcancoimbra,8,complexity_density,raw_tabular,0.0009837332181632519,8.02937668802141e-06,58,9,522
breastcancoimbra,8,encoding,shared,0.023692533373832703,0.00011902120845654473,58,9,522
breastcancoimbra,8,feature_extraction,imagenet,0.027236400016893942,0.003873575205799104,58,512,29696
breastcancoimbra,8,hscore,imagenet,0.05696165999397636,0.0030498853974743286,58,512,29696
breastcancoimbra,8,transrate,imagenet,0.008455600123852491,0.00035871259640796546,58,512,29696
breastcancoimbra,8,feature_extraction,random,0.022936000333478052,0.0003249293615549262,58,512,29696
breastcancoimbra,8,hscore,random,0.05530909998342395,0.0010627984848558636,58,512,29696
breastcancoimbra,8,transrate,random,0.008558300044387578,0.0010861066184269593,58,512,29696
breastcancoimbra,9,complexity_22,raw_tabular,0.013087966634581486,0.00016651338637625458,58,9,522
breastcancoimbra,9,complexity_l2,raw_tabular,0.0006035335051516691,5.013567666271664e-06,58,9,522
breastcancoimbra,9,complexity_density,raw_tabular,0.0009703665661315123,1.1845203997897778e-05,58,9,522
breastcancoimbra,9,encoding,shared,0.02372813317924738,0.00015509788259801736,58,9,522
breastcancoimbra,9,feature_extraction,imagenet,0.021506733261048794,0.0001519516240806417,58,512,29696
breastcancoimbra,9,hscore,imagenet,0.05104970000684261,0.0009105902920760089,58,512,29696
breastcancoimbra,9,transrate,imagenet,0.007786620128899813,0.00016250592771004395,58,512,29696
breastcancoimbra,9,feature_extraction,random,0.02273563326646884,0.0014866441264627832,58,512,29696
breastcancoimbra,9,hscore,random,0.048981480021029714,0.0014539296958716022,58,512,29696
breastcancoimbra,9,transrate,random,0.010015360079705715,0.003259678128902776,58,512,29696
cryotherapy,0,complexity_22,raw_tabular,0.009931733521322409,5.5969799445687715e-05,45,6,270
cryotherapy,0,complexity_l2,raw_tabular,0.00047330015028516453,8.099785966113458e-06,45,6,270
cryotherapy,0,complexity_density,raw_tabular,0.0007431666987637678,6.949515700703093e-06,45,6,270
cryotherapy,0,encoding,shared,0.01885609996194641,0.00018610265424545992,45,6,270
cryotherapy,0,feature_extraction,imagenet,0.01594736675421397,8.33155353981648e-05,45,512,23040
cryotherapy,0,hscore,imagenet,0.05387549987062812,0.0027370551248145115,45,512,23040
cryotherapy,0,transrate,imagenet,0.007944000046700239,0.00028230004909422205,45,512,23040
cryotherapy,0,feature_extraction,random,0.016126700056095917,0.0003759621333578509,45,512,23040
cryotherapy,0,hscore,random,0.05026135994121432,0.00043193666961125697,45,512,23040
cryotherapy,0,transrate,random,0.010077739879488946,0.00268435798181551,45,512,23040
cryotherapy,1,complexity_22,raw_tabular,0.009885700109104315,0.0002208291268303166,45,6,270
cryotherapy,1,complexity_l2,raw_tabular,0.0004306334691743056,9.401496667708654e-06,45,6,270
cryotherapy,1,complexity_density,raw_tabular,0.0007380334039529165,9.104723223366766e-06,45,6,270
cryotherapy,1,encoding,shared,0.018674133345484734,0.000382392135307853,45,6,270
cryotherapy,1,feature_extraction,imagenet,0.016004566724101704,0.00013182331440718018,45,512,23040
cryotherapy,1,hscore,imagenet,0.04854721995070577,0.0017926051967042545,45,512,23040
cryotherapy,1,transrate,imagenet,0.007807720080018043,0.0002201843057726217,45,512,23040
cryotherapy,1,feature_extraction,random,0.01602889985466997,9.000355826226904e-05,45,512,23040
cryotherapy,1,hscore,random,0.0510521600022912,0.0011703511297819626,45,512,23040
cryotherapy,1,transrate,random,0.008026999980211258,0.0003783790353964778,45,512,23040
cryotherapy,2,complexity_22,raw_tabular,0.009845066660394272,7.677242502912176e-05,45,6,270
cryotherapy,2,complexity_l2,raw_tabular,0.0004461665327350299,8.845954352434562e-06,45,6,270
