method,init,mean,std,median,min,max
complexity_22,raw_tabular,2.618339754161425,5.5722723074248535,0.12070209998637438,0.009585066543271145,22.594427600037307
complexity_l1,raw_tabular,0.002236445339707037,0.004071598584944977,0.0006953665676216285,0.0004760000544289748,0.020586799830198288
complexity_n2,raw_tabular,0.19461547399250168,0.4034023887453905,0.008648816651354235,0.00012069987133145332,1.43085606660073
encoding,shared,0.37421323667202766,0.5274477999494651,0.13817964998694757,0.018306800164282322,2.047547800000757
feature_extraction,imagenet,0.3219508939965939,0.42995111091932864,0.12857706666303176,0.016229799948632717,1.4818130334218342
feature_extraction,random,0.3207046863397894,0.4283492306673364,0.1263503666656713,0.016223900020122528,1.3903679333937664
hscore,imagenet,0.06389086390519515,0.01913416827290347,0.055630729999393225,0.04607169991359115,0.10972490012645722
hscore,random,0.06491181638836861,0.01991522073978138,0.05724191009066999,0.04583952007815242,0.11285454006865621
transrate,imagenet,0.016461611401755363,0.010845863329934482,0.01152749010361731,0.007622859999537468,0.044630759954452516
transrate,random,0.016647689001169055,0.011062652105685406,0.011891619907692075,0.00785309998318553,0.04978594016283751
